Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS-path_length,Maximum_AS-path_length,Average_unique_AS-path_length,Number_of_duplicate_announcements,Number_of_duplicate_withdrawals,Number_of_implicit_withdrawals,Average_edit_distance,Maximum_edit_distance,Inter-arrival_time,Maximum_edit_distance_7,Maximum_edit_distance_8,Maximum_edit_distance_9,Maximum_edit_distance_10,Maximum_edit_distance_11,Maximum_edit_distance_12,Maximum_edit_distance_13,Maximum_edit_distance_14,Maximum_edit_distance_15,Maximum_edit_distance_16,Maximum_edit_distance_17,Maximum_AS-path_length_7,Maximum_AS-path_length_8,Maximum_AS-path_length_9,Maximum_AS-path_length_10,Maximum_AS-path_length_11,Maximum_AS-path_length_12,Maximum_AS-path_length_13,Maximum_AS-path_length_14,Maximum_AS-path_length_15,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_Exterior_Gateway_Protocol_EGP_packets,Number_of_incomplete_packets,Packet_size_bytes,Anomalous,type,category
57,8,203,16,6,15,6,206,150,20,6,100,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,8079,-1,normal,BCNET_regular
62,23,361,75,6,16,6,398,355,120,6,1.1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,9515,-1,normal,BCNET_regular
74,12,398,23,6,12,6,433,323,28,7,1.2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,8632,-1,normal,BCNET_regular
70,4,543,49,6,27,6,568,210,72,8,1.1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,9227,-1,normal,BCNET_regular
51,4,347,4,5,8,5,439,263,5,6,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,7831,-1,normal,BCNET_regular
72,16,469,53,6,12,6,539,336,86,6,1.2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,8694,-1,normal,BCNET_regular
63,7,374,26,6,10,5,518,238,27,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,8040,-1,normal,BCNET_regular
77,15,554,188,6,16,6,699,473,583,7,1.3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,9310,-1,normal,BCNET_regular
72,9,535,119,6,10,6,636,721,182,7,1.2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0,9180,-1,normal,BCNET_regular
61,9,268,64,5,10,5,293,146,68,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,7218,-1,normal,BCNET_regular
58,9,366,27,6,11,6,446,121,34,6,0.9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7945,-1,normal,BCNET_regular
75,6,684,29,6,14,6,720,188,31,7,1.2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,9717,-1,normal,BCNET_regular
58,9,330,25,6,10,6,402,185,40,7,100,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,8767,-1,normal,BCNET_regular
56,7,263,17,6,10,5,300,259,24,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,8306,-1,normal,BCNET_regular
62,6,291,18,6,11,6,311,218,26,7,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,7450,-1,normal,BCNET_regular
84,5,962,59,6,13,6,967,367,104,7,1.3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,0,0,10774,-1,normal,BCNET_regular
74,8,608,14,7,21,6,641,924,24,8,1.2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,0,0,9098,-1,normal,BCNET_regular
62,11,571,77,6,21,6,573,289,130,7,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,9596,-1,normal,BCNET_regular
72,7,317,12,5,10,5,334,284,15,8,1.2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,7523,-1,normal,BCNET_regular
59,11,418,30,5,9,5,444,407,41,7,0.9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,9612,-1,normal,BCNET_regular
68,13,378,73,6,14,6,481,202,85,8,1.1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,8113,-1,normal,BCNET_regular
68,11,491,25,6,13,6,520,696,27,7,1.1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,8795,-1,normal,BCNET_regular
77,14,538,43,6,10,5,575,636,50,8,1.3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0,0,8691,-1,normal,BCNET_regular
62,14,539,63,6,11,5,563,158,81,8,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,9445,-1,normal,BCNET_regular
68,11,546,90,6,13,6,582,479,188,10,1.1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,8327,-1,normal,BCNET_regular
63,12,350,37,5,9,5,385,222,46,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,8647,-1,normal,BCNET_regular
75,7,549,14,6,12,6,637,319,19,8,1.2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,0,0,9928,-1,normal,BCNET_regular
60,4,396,8,6,17,6,401,368,8,13,100,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,61,0,0,8868,-1,normal,BCNET_regular
57,11,213,27,6,10,6,223,215,40,7,0.9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,8102,-1,normal,BCNET_regular
68,13,265,24,6,16,7,270,265,36,7,1.1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,8373,-1,normal,BCNET_regular
63,15,241,58,7,15,7,249,175,71,7,1.1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,8184,-1,normal,BCNET_regular
43,9,172,16,6,11,6,196,161,27,7,0.7,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0,8928,-1,normal,BCNET_regular
52,7,262,23,6,14,6,271,239,34,10,0.8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,0,9145,-1,normal,BCNET_regular
59,12,238,24,6,17,6,300,144,31,7,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,7298,-1,normal,BCNET_regular
63,5,292,7,6,13,6,306,274,8,8,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,8809,-1,normal,BCNET_regular
65,12,292,21,6,18,6,329,352,32,8,1.1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,70,0,0,8661,-1,normal,BCNET_regular
58,8,223,16,5,17,5,250,187,22,6,0.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7879,-1,normal,BCNET_regular
59,3,182,7,6,11,6,207,76,6,8,100,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,0,0,7094,-1,normal,BCNET_regular
58,14,299,34,5,12,5,393,154,58,8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,0,0,7769,-1,normal,BCNET_regular
45,8,253,18,6,12,6,268,146,28,11,0.7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,8841,-1,normal,BCNET_regular
56,8,454,12,6,12,7,685,330,16,11,0.9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,0,0,8470,-1,normal,BCNET_regular
67,6,576,12,6,14,6,600,270,15,8,1.1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,8912,-1,normal,BCNET_regular
46,5,320,9,5,11,5,390,266,12,7,0.7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,8754,-1,normal,BCNET_regular
49,11,148,32,6,13,6,162,130,56,8,0.8,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,8110,-1,normal,BCNET_regular
77,12,358,15,6,11,6,368,410,19,7,1.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0,8100,-1,normal,BCNET_regular
48,5,140,7,6,12,6,154,131,9,6,0.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,7416,-1,normal,BCNET_regular
62,10,572,91,6,14,6,585,512,114,7,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,10036,-1,normal,BCNET_regular
69,8,544,153,6,12,6,680,671,234,6,1.1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,8554,-1,normal,BCNET_regular
65,10,485,144,6,13,6,491,462,281,7,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0,0,10216,-1,normal,BCNET_regular
68,13,310,44,6,15,6,344,218,78,6,1.1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,8139,-1,normal,BCNET_regular
55,6,315,6,6,11,6,333,257,7,7,0.9,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,8240,-1,normal,BCNET_regular
57,13,322,39,6,11,6,325,371,65,6,0.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,8269,-1,normal,BCNET_regular
